frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_12,ID_15,ID_16
181,"(785,1014)",,"(143,899)","(1350,730)",,"(730,669)",,"(1257,617)",,,"(1317,997)",,
182,"(785,1014)",,"(144,898)","(1350,730)",,,"(420,618)","(1257,617)","(1049,238)",,"(1317,998)",,
183,"(785,1014)",,"(144,899)","(1351,731)",,"(730,669)","(420,618)","(1257,617)","(1049,238)",,"(1319,997)",,
184,"(785,1014)",,"(145,899)","(1351,730)",,,"(420,618)","(1257,618)",,,"(1319,997)",,
185,"(785,1014)",,"(144,900)","(1349,726)",,"(730,669)","(420,619)","(1257,618)",,,"(1321,998)",,
186,"(785,1014)","(555,929)","(143,899)","(1349,725)",,"(731,668)","(420,619)","(1257,618)","(1049,238)",,"(1319,997)",,
187,"(785,1014)",,"(145,900)","(1350,720)",,"(732,667)","(420,619)","(1257,618)","(1049,238)",,"(1321,995)",,
188,"(780,1014)",,"(145,899)","(1350,725)",,"(732,667)","(420,619)","(1257,617)",,,"(1320,992)",,
189,"(784,1014)","(555,929)","(146,898)","(1350,724)",,"(732,668)",,"(1257,617)",,,"(1321,994)",,
190,"(785,1014)","(556,929)","(146,899)","(1351,723)",,"(732,667)","(421,619)","(1257,617)",,,"(1323,993)",,
191,"(784,1014)",,"(146,898)","(1350,720)",,"(733,671)","(421,619)","(1261,615)","(1049,238)",,"(1322,993)",,
192,"(784,1014)",,"(147,899)","(1351,717)",,"(733,665)",,"(1261,615)","(1049,238)",,"(1321,992)",,
193,"(784,1014)",,"(147,898)","(1352,718)",,,"(421,618)","(1261,615)",,,"(1322,992)",,
194,"(784,1015)",,"(148,898)","(1351,712)",,"(733,667)","(420,618)","(1261,615)","(1049,238)",,"(1322,991)",,
195,"(784,1014)",,"(148,900)","(1348,711)",,"(733,662)","(421,619)","(1261,615)","(1049,238)",,"(1322,990)",,
196,,,"(148,901)","(1349,710)",,"(734,662)",,"(1261,615)","(1049,238)",,"(1321,990)",,
197,,"(556,929)","(158,907)","(1346,709)",,"(734,664)","(420,618)","(1261,615)","(1049,238)",,"(1322,988)",,
198,,,"(158,908)","(1347,704)",,"(734,665)","(420,618)","(1261,615)","(1049,238)",,"(1326,987)",,
199,"(772,1012)",,"(154,901)","(1349,703)","(381,762)","(734,665)","(421,618)","(1261,615)","(1049,238)",,"(1321,986)",,
200,"(761,1010)",,"(155,902)","(1351,704)","(381,762)","(735,665)","(421,619)","(1261,616)","(1052,240)",,"(1321,986)",,
201,"(759,1011)","(556,929)","(154,902)","(1349,699)",,"(735,665)","(421,619)","(1261,615)","(1049,238)",,"(1322,986)",,
202,"(753,1006)","(555,929)","(154,903)","(1349,697)",,"(735,664)","(421,619)","(1261,616)","(1052,240)",,"(1321,983)",,"(165,913)"
203,"(752,1003)",,"(155,904)","(1350,696)",,"(735,664)","(421,619)","(1261,616)","(1049,239)",,"(1323,985)",,
204,"(750,1001)","(555,929)","(154,904)","(1351,697)",,"(735,664)","(421,619)","(1256,616)","(1049,239)",,"(1320,985)",,
205,"(752,1003)","(555,929)","(155,904)","(1349,690)",,"(735,663)","(421,619)","(1261,617)","(1052,241)",,"(1322,984)",,
206,"(750,1005)","(555,929)","(155,905)","(1349,690)",,"(735,662)","(421,619)","(1261,616)","(1049,237)",,"(1321,984)",,
207,"(753,1006)","(555,928)","(155,906)","(1350,690)",,"(735,662)","(421,619)","(1261,616)",,,"(1321,983)",,
208,"(754,1004)",,"(155,910)","(1351,687)",,"(735,661)","(421,619)","(1260,615)","(1049,238)",,"(1321,982)",,
209,"(754,1004)",,"(165,915)","(1351,687)","(382,762)","(735,661)","(421,619)","(1261,616)",,,"(1321,982)",,
210,"(755,1006)","(555,929)","(165,915)","(1349,683)",,"(735,661)","(422,619)","(1261,615)",,,"(1324,981)",,
211,"(757,1005)","(555,929)","(165,916)","(1349,684)","(381,762)","(735,660)","(422,618)","(1261,615)","(1048,238)",,"(1320,980)",,
