frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_19,ID_20
172,,"(108,523)","(420,466)","(921,232)","(238,55)","(1061,139)","(949,68)",,"(60,145)","(600,1027)",,,,,,,,,,
173,,"(106,522)","(423,466)","(921,232)","(238,55)","(1061,138)","(951,66)",,"(59,145)","(603,1027)",,,,,,,,,,
174,,"(105,523)","(425,468)","(920,231)","(242,56)","(1061,139)","(951,67)",,"(60,145)","(603,1028)",,"(58,109)",,,,,"(51,73)",,,
175,,"(105,521)","(426,469)","(917,232)","(243,55)","(1061,138)","(952,64)",,"(60,144)","(604,1026)",,,"(45,1016)",,,,,,,
176,,"(104,522)","(428,469)","(917,233)","(245,55)",,"(954,64)",,"(60,144)","(605,1025)",,,,,,,,,,
177,,"(104,524)","(430,469)","(918,231)","(249,55)","(1061,138)","(958,61)",,"(60,144)","(609,1026)",,,"(45,1017)","(1368,1004)",,,,,,
178,,"(103,524)","(431,470)","(916,229)","(250,54)",,"(962,60)",,"(60,144)","(607,1026)",,,"(46,1014)",,,,,,,
179,,"(103,523)","(431,470)","(916,231)","(253,54)","(1061,137)","(962,61)",,"(60,143)","(611,1025)",,,"(46,1015)",,,,,,,
180,,"(103,526)","(433,470)","(915,230)","(257,54)",,"(962,62)",,"(60,144)","(611,1027)",,,"(46,1015)",,,,,,,
181,,"(103,526)","(434,472)","(917,229)","(255,54)","(1062,138)","(963,62)",,"(61,144)",,,,"(46,1016)",,,,,,,
182,,"(102,526)","(436,474)","(916,232)",,"(1062,139)","(964,63)",,"(61,144)","(615,1027)",,,"(45,1018)","(1370,1004)",,,,,,
183,,"(102,529)","(436,476)","(914,230)","(259,56)",,"(967,63)",,"(61,144)","(619,1026)",,"(59,111)","(45,1019)","(1369,1005)",,,"(52,73)",,,
184,,"(101,528)","(438,478)",,,,"(965,63)",,,,,"(52,74)","(45,1019)","(1369,1005)",,,,,,
185,,"(100,528)","(439,480)",,"(266,57)","(1062,138)","(968,65)",,,,,"(52,76)","(46,1017)","(1369,1005)",,,,,,
186,,"(99,530)","(440,481)",,"(267,57)","(1062,138)","(967,64)",,,"(627,1026)",,,"(46,1018)",,,,,,,
187,,"(99,530)","(441,483)",,"(269,57)","(1062,139)","(967,65)",,,"(625,1027)",,,"(46,1016)",,,,,,,
188,,"(98,530)","(442,484)","(917,231)","(268,58)","(1061,139)","(967,66)",,,"(625,1027)",,,"(46,1017)",,,,,,,
189,"(538,536)","(97,532)","(444,485)",,"(270,56)",,"(970,67)",,,"(628,1026)",,,,,,,,,,
190,,"(95,532)","(446,486)",,"(273,56)",,"(974,66)",,,"(631,1026)",,,,,,,,,,
191,,"(94,533)","(447,488)","(916,231)","(275,53)",,"(977,67)",,,"(633,1026)",,,,"(1369,1003)",,,,,,
192,,"(94,532)","(449,488)","(916,231)","(279,55)","(1061,139)","(980,66)",,,"(637,1026)",,,,,,,,,,
